customer_id,email,first_name,last_name,country,billing_currency,preferred_language,acquisition_channel,is_business,tax_id,tax_exempt,account_status,created_at
CUST-0021,edith.tremblay21@example.com,Edith,Tremblay,US,USD,en,paid_search,false,,false,active,2024-08-15T13:11:00Z
CUST-0022,ruby.dahl22@example.com,Ruby,Dahl,US,USD,en,partner,false,,false,active,2024-05-28T17:27:00Z
CUST-0023,clara.mercier23@example.com,Clara,Mercier,US,USD,en,organic,false,,false,active,2022-07-04T16:14:00Z
CUST-0024,greta.rousseau24@example.com,Greta,Rousseau,NL,EUR,en,paid_search,false,,false,active,2021-02-08T18:53:00Z
CUST-0025,nora.girard25@example.com,Nora,Girard,CA,CAD,fr,referral,false,,false,active,2023-11-13T20:35:00Z
CUST-0026,theo.laurent26@example.com,Theo,Laurent,US,USD,en,partner,false,,false,active,2023-09-01T16:26:00Z
CUST-0027,felix.boucher27@example.com,Felix,Boucher,DE,EUR,de,organic,false,,false,active,2023-09-09T08:18:00Z
CUST-0028,nadia.zimmer28@example.com,Nadia,Zimmer,US,USD,en,partner,false,,false,active,2024-11-26T18:09:00Z
CUST-0029,celia.zimmer29@example.com,Celia,Zimmer,DE,EUR,de,organic,false,,false,active,2023-11-23T20:31:00Z
CUST-0030,bruno.boucher30@example.com,Bruno,Boucher,US,USD,en,organic,false,,false,active,2025-02-20T00:00:00Z
CUST-0031,mats.rousseau31@example.com,Mats,Rousseau,US,USD,en,organic,false,,false,active,2024-05-07T14:54:00Z
CUST-0032,ivo.novak32@example.com,Ivo,Novak,US,USD,en,paid_search,false,,false,active,2025-01-27T11:56:00Z
CUST-0033,hugo.rousseau33@example.com,Hugo,Rousseau,US,USD,en,paid_search,false,,false,active,2024-05-24T13:51:00Z
CUST-0034,hana.kraft34@example.com,Hana,Kraft,CA,CAD,en,organic,false,,false,active,2023-10-08T18:04:00Z
CUST-0035,noah.yilmaz35@example.com,Noah,Yilmaz,CA,CAD,fr,organic,false,,false,active,2022-08-15T11:54:00Z
CUST-0036,erik.keller36@example.com,Erik,Keller,US,USD,en,organic,false,,false,active,2025-01-09T10:08:00Z
CUST-0037,tessa.petit37@example.com,Tessa,Petit,IE,EUR,en,organic,true,IE799506796,true,active,2025-01-24T20:58:00Z
CUST-0038,greta.ibsen38@example.com,Greta,Ibsen,US,USD,en,referral,false,,false,active,2025-02-28T00:00:00Z
CUST-0039,mia.colin39@example.com,Mia,Colin,DE,EUR,de,partner,false,,false,churned,2021-12-24T13:51:00Z
CUST-0040,lucas.xu40@example.com,Lucas,Xu,US,USD,en,partner,false,,false,active,2025-02-28T00:00:00Z
CUST-0041,liam.gagnon41@example.com,Liam,Gagnon,US,USD,en,referral,false,,false,active,2025-02-20T00:00:00Z
CUST-0042,lola.mercier42@example.com,Lola,Mercier,US,USD,en,referral,false,,false,active,2024-09-22T12:02:00Z
CUST-0043,noah.colin43@example.com,Noah,Colin,US,USD,en,organic,false,,false,active,2021-08-03T13:36:00Z
CUST-0044,erik.laurent44@example.com,Erik,Laurent,US,USD,en,paid_search,false,,false,active,2021-09-21T09:33:00Z
CUST-0045,june.visser45@example.com,June,Visser,US,USD,en,organic,false,,false,active,2025-02-13T15:32:00Z
CUST-0046,edith.novak46@example.com,Edith,Novak,CA,CAD,en,organic,false,,false,churned,2023-10-16T16:09:00Z
CUST-0047,marta.rousseau47@example.com,Marta,Rousseau,CA,CAD,en,partner,false,,false,active,2025-02-20T00:00:00Z
CUST-0048,sofia.wagner48@example.com,Sofia,Wagner,CA,CAD,en,partner,false,,false,active,2024-04-08T10:09:00Z
CUST-0049,ana.novak49@example.com,Ana,Novak,US,USD,en,paid_search,false,,false,active,2023-11-19T15:29:00Z
CUST-0050,iris.gagnon50@example.com,Iris,Gagnon,US,USD,en,organic,false,,false,active,2022-08-12T08:26:00Z
CUST-0051,mia.costa51@example.com,Mia,Costa,IE,EUR,en,paid_search,true,IE863531123,true,active,2023-04-27T10:35:00Z
CUST-0052,hana.xu52@example.com,Hana,Xu,US,USD,en,referral,false,,false,active,2025-01-02T08:24:00Z
CUST-0053,noah.xu53@example.com,Noah,Xu,US,USD,en,referral,false,,false,active,2025-02-20T00:00:00Z
CUST-0054,marco.tremblay54@example.com,Marco,Tremblay,US,USD,en,referral,false,,false,active,2023-01-28T18:21:00Z
CUST-0055,lena.tremblay55@example.com,Lena,Tremblay,US,USD,en,organic,false,,false,active,2023-08-20T19:27:00Z
CUST-0056,olivia.quirke56@example.com,Olivia,Quirke,US,USD,en,partner,false,,false,active,2023-06-13T17:02:00Z
CUST-0057,marta.girard57@example.com,Marta,Girard,US,USD,en,organic,false,,false,active,2022-02-05T09:28:00Z
CUST-0058,liam.yilmaz58@example.com,Liam,Yilmaz,CA,CAD,en,referral,false,,false,active,2025-02-20T00:00:00Z
CUST-0059,emma.iversen59@example.com,Emma,Iversen,US,USD,en,paid_search,false,,false,churned,2025-02-20T00:00:00Z
CUST-0060,edith.dubois60@example.com,Edith,Dubois,CA,CAD,en,organic,false,,false,active,2021-02-02T18:49:00Z
CUST-0061,silas.janssen61@example.com,Silas,Janssen,US,USD,en,paid_search,false,,false,active,2023-09-18T09:20:00Z
CUST-0062,liam.gagnon62@example.com,Liam,Gagnon,US,USD,en,organic,false,,false,active,2024-09-15T11:13:00Z
CUST-0063,dario.schmidt63@example.com,Dario,Schmidt,US,USD,en,paid_search,false,,false,active,2025-02-20T00:00:00Z
CUST-0064,hana.ueda64@example.com,Hana,Ueda,CA,CAD,en,organic,false,,false,active,2025-02-20T00:00:00Z
CUST-0065,ruby.keller65@example.com,Ruby,Keller,DE,EUR,de,paid_search,false,,false,active,2025-02-12T16:22:00Z
CUST-0066,celia.wagner66@example.com,Celia,Wagner,US,USD,en,paid_search,false,,false,active,2025-02-20T00:00:00Z
CUST-0067,edith.joubert67@example.com,Edith,Joubert,CA,CAD,fr,paid_search,false,,false,active,2024-07-27T13:49:00Z
CUST-0068,nadia.fiala68@example.com,Nadia,Fiala,US,USD,en,organic,false,,false,active,2021-11-25T10:00:00Z
CUST-0069,noah.almeida69@example.com,Noah,Almeida,FR,EUR,fr,referral,false,,false,active,2024-03-24T12:56:00Z
CUST-0070,marta.lindt70@example.com,Marta,Lindt,US,USD,en,organic,false,,false,active,2022-03-20T18:57:00Z
CUST-0071,ethan.egan71@example.com,Ethan,Egan,US,USD,en,organic,false,,false,active,2023-03-13T18:32:00Z
CUST-0072,lola.gagnon72@example.com,Lola,Gagnon,NL,EUR,en,organic,false,,false,active,2025-02-20T00:00:00Z
CUST-0073,lola.ueda73@example.com,Lola,Ueda,US,USD,en,organic,false,,false,active,2021-07-09T08:47:00Z
CUST-0074,ruby.gagnon74@example.com,Ruby,Gagnon,FR,EUR,fr,organic,false,,false,active,2025-02-20T00:00:00Z
CUST-0075,nora.costa75@example.com,Nora,Costa,US,USD,en,partner,false,,false,active,2022-04-03T09:38:00Z
CUST-0076,nina.ibsen76@example.com,Nina,Ibsen,DE,EUR,de,referral,true,DE804503060,true,active,2025-02-16T18:06:00Z
CUST-0077,nadia.keller77@example.com,Nadia,Keller,US,USD,en,partner,false,,false,active,2024-01-18T14:26:00Z
CUST-0078,dario.olsen78@example.com,Dario,Olsen,CA,CAD,en,organic,false,,false,active,2024-04-28T13:19:00Z
CUST-0079,sofia.yilmaz79@example.com,Sofia,Yilmaz,DE,EUR,de,paid_search,false,,false,active,2023-07-02T17:55:00Z
CUST-0080,hugo.janssen80@example.com,Hugo,Janssen,CA,CAD,fr,paid_search,false,,false,active,2025-02-20T00:00:00Z
CUST-0081,bruno.schmidt81@example.com,Bruno,Schmidt,CA,CAD,en,partner,false,,false,active,2025-02-20T00:00:00Z
CUST-0082,dario.fiala82@example.com,Dario,Fiala,US,USD,en,paid_search,false,,false,active,2021-11-01T19:10:00Z
CUST-0083,farid.keller83@example.com,Farid,Keller,US,USD,en,referral,false,,false,active,2024-02-10T10:36:00Z
CUST-0084,liam.schmidt84@example.com,Liam,Schmidt,DE,EUR,de,partner,true,DE420824516,false,active,2025-02-28T00:00:00Z
CUST-0085,owen.schmidt85@example.com,Owen,Schmidt,NL,EUR,en,referral,false,,false,active,2021-03-03T10:27:00Z
CUST-0086,ruby.laurent86@example.com,Ruby,Laurent,US,USD,en,referral,false,,false,active,2022-05-10T12:31:00Z
CUST-0087,june.janssen87@example.com,June,Janssen,US,USD,en,organic,false,,false,active,2023-06-20T19:12:00Z
CUST-0088,marta.ferrari88@example.com,Marta,Ferrari,CA,CAD,fr,organic,false,,false,active,2024-11-16T10:40:00Z
CUST-0089,noah.lindt89@example.com,Noah,Lindt,US,USD,en,organic,false,,false,active,2024-06-26T14:06:00Z
CUST-0090,erik.egan90@example.com,Erik,Egan,CA,CAD,en,organic,false,,false,active,2022-09-16T13:30:00Z
CUST-0091,liam.novak91@example.com,Liam,Novak,DE,EUR,de,paid_search,false,,false,churned,2024-10-14T14:00:00Z
CUST-0092,elsa.ueda92@example.com,Elsa,Ueda,US,USD,en,referral,false,,false,active,2025-02-20T00:00:00Z
CUST-0093,hana.eriksen93@example.com,Hana,Eriksen,US,USD,en,paid_search,false,,false,active,2023-01-16T10:12:00Z
CUST-0094,tessa.iversen94@example.com,Tessa,Iversen,US,USD,en,paid_search,false,,false,active,2025-01-20T13:31:00Z
CUST-0095,mats.xu95@example.com,Mats,Xu,US,USD,en,referral,false,,false,active,2025-02-20T00:00:00Z
CUST-0096,felix.janssen96@example.com,Felix,Janssen,US,USD,en,partner,false,,false,active,2022-04-05T19:20:00Z
CUST-0097,oscar.egan97@example.com,Oscar,Egan,FR,EUR,fr,paid_search,false,,false,active,2025-02-28T00:00:00Z
CUST-0098,freya.bergstrom98@example.com,Freya,Bergstrom,US,USD,en,partner,false,,false,active,2024-04-23T10:56:00Z
CUST-0099,bruno.dahl99@example.com,Bruno,Dahl,US,USD,en,referral,false,,false,active,2025-01-27T18:53:00Z
CUST-0100,hugo.dahl100@example.com,Hugo,Dahl,CA,CAD,fr,organic,false,,false,active,2023-12-07T18:47:00Z
