payment_method_id,customer_id,atlaspay_token,card_brand,card_last4,exp_month,exp_year,cardholder_name,billing_postal_code,status,created_at
PM-0048,CUST-0048,atp_tok_ixkZVYkBzPoB,visa,4242,10,2028,Sofia Wagner,E7D8D4,active,2024-04-08T10:09:00Z
PM-0049,CUST-0049,atp_tok_ipN2Ig00rVq4,visa,4242,10,2027,Ana Novak,29313,active,2023-11-19T15:29:00Z
PM-0050,CUST-0050,atp_tok_b50OXirZRiRB,amex,0005,4,2028,Iris Gagnon,10688,active,2022-08-12T08:26:00Z
PM-0051,CUST-0051,atp_tok_hoNMdZEHNJSs,visa,5556,5,2027,Mia Costa,10205,active,2023-04-27T10:35:00Z
PM-0052,CUST-0052,atp_tok_2cxxUweoOgKU,mastercard,8210,7,2026,Hana Xu,27486,active,2022-10-14T10:42:00Z
PM-0053,CUST-0053,atp_tok_S6cmX2ttyYDc,visa,4242,2,2027,Noah Xu,94790,active,2025-02-20T00:00:00Z
PM-0054,CUST-0054,atp_tok_8EE5GXTeLYHt,visa,5556,6,2029,Marco Tremblay,20494,active,2023-01-28T18:21:00Z
PM-0055,CUST-0055,atp_tok_NXdPzFUjb0QB,mastercard,3222,5,2029,Lena Tremblay,26545,active,2023-08-20T19:27:00Z
PM-0056,CUST-0056,atp_tok_wtr7blG4hWRn,visa,4242,9,2027,Olivia Quirke,90199,active,2023-06-13T17:02:00Z
PM-0057,CUST-0057,atp_tok_eH30S5NXFhmi,mastercard,3222,12,2028,Marta Girard,74752,active,2022-02-05T09:28:00Z
PM-0058,CUST-0058,atp_tok_9SGVZe8NBQv2,mastercard,4444,7,2028,Liam Yilmaz,J9C2G8,active,2025-02-20T00:00:00Z
PM-0059,CUST-0059,atp_tok_m7rMMfNKKkM3,mastercard,3222,5,2026,Emma Iversen,54252,active,2025-02-20T00:00:00Z
PM-0060,CUST-0060,atp_tok_3HNspYzCQjzC,mastercard,3222,8,2026,Edith Dubois,F9C5F5,active,2021-02-02T18:49:00Z
PM-0061,CUST-0061,atp_tok_1z73Y5Slj9C2,visa,4242,7,2028,Silas Janssen,75191,active,2023-09-18T09:20:00Z
PM-0062,CUST-0062,atp_tok_agiqwzcdIwrx,visa,5556,9,2028,Liam Gagnon,69028,active,2024-09-15T11:13:00Z
PM-0063,CUST-0063,atp_tok_LyccSXGj3i5t,visa,5556,4,2027,Dario Schmidt,61505,active,2025-02-20T00:00:00Z
PM-0064,CUST-0064,atp_tok_P8KXSQbD7WWJ,visa,4242,6,2028,Hana Ueda,A9H2J9,active,2025-02-20T00:00:00Z
PM-0065,CUST-0065,atp_tok_FLD0TRGI9Dx7,visa,5556,7,2027,Ruby Keller,70249,active,2022-01-19T19:07:00Z
PM-0066,CUST-0066,atp_tok_In8srmRtv5Xq,visa,4242,5,2027,Celia Wagner,25974,active,2025-02-20T00:00:00Z
PM-0067,CUST-0067,atp_tok_OUnZqIqgTod4,visa,4242,8,2028,Edith Joubert,D3A1G5,active,2024-07-27T13:49:00Z
PM-0068,CUST-0068,atp_tok_m7tO4fJHS64k,amex,8431,11,2029,Nadia Fiala,33040,active,2021-11-25T10:00:00Z
PM-0069,CUST-0069,atp_tok_9HE60DlgkCpl,visa,5556,8,2028,Noah Almeida,54185,active,2024-03-24T12:56:00Z
PM-0070,CUST-0070,atp_tok_D6axBquKJqwo,visa,4242,3,2027,Marta Lindt,97528,active,2022-03-20T18:57:00Z
PM-0071,CUST-0071,atp_tok_MnijULzIDHPn,visa,0069,4,2023,Ethan Egan,42435,expired,2023-03-13T18:32:00Z
PM-0072,CUST-0072,atp_tok_uGhmKfFYCFCd,visa,4242,3,2027,Lola Gagnon,70604,active,2025-02-20T00:00:00Z
PM-0073,CUST-0073,atp_tok_9DrliNT7x3B4,mastercard,8210,2,2026,Lola Ueda,59479,active,2021-07-09T08:47:00Z
PM-0074,CUST-0074,atp_tok_8CSAxoCjl2Vb,visa,4242,1,2026,Ruby Gagnon,96533,active,2025-02-20T00:00:00Z
PM-0075,CUST-0075,atp_tok_on1dFrYTtLPt,visa,4242,8,2029,Nora Costa,49552,active,2022-04-03T09:38:00Z
PM-0076,CUST-0076,atp_tok_E86PWtzjxUD0,mastercard,4444,9,2029,Nina Ibsen,49418,active,2022-07-10T12:03:00Z
PM-0077,CUST-0077,atp_tok_eBxHZdxLceXK,amex,0005,11,2028,Nadia Keller,98008,active,2024-01-18T14:26:00Z
PM-0078,CUST-0078,atp_tok_9DpLm4IWxHwq,mastercard,8210,12,2026,Dario Olsen,J7H1H5,active,2024-04-28T13:19:00Z
PM-0079,CUST-0079,atp_tok_moJpI6uVESTC,visa,5556,3,2028,Sofia Yilmaz,56160,active,2023-07-02T17:55:00Z
PM-0080,CUST-0080,atp_tok_z0oRaFxMPMDE,mastercard,4444,1,2026,Hugo Janssen,A8J6A0,active,2025-02-20T00:00:00Z
PM-0081,CUST-0081,atp_tok_GoMpvXe7CpRs,mastercard,4444,2,2026,Bruno Schmidt,B0B6G6,active,2025-02-20T00:00:00Z
PM-0082,CUST-0082,atp_tok_n13Dce53Ic5t,visa,0069,9,2023,Dario Fiala,37152,expired,2021-11-01T19:10:00Z
PM-0083,CUST-0083,atp_tok_i9SF8dBZvV7y,mastercard,3222,12,2029,Farid Keller,52778,active,2024-02-10T10:36:00Z
PM-0084,CUST-0084,atp_tok_VspeqxWjywf6,mastercard,8210,2,2029,Liam Schmidt,68292,active,2024-08-08T13:35:00Z
PM-0085,CUST-0085,atp_tok_ILW1azWSI9pG,visa,4242,6,2026,Owen Schmidt,99825,active,2021-03-03T10:27:00Z
PM-0086,CUST-0086,atp_tok_6SEMCiay0x1B,visa,4242,5,2028,Ruby Laurent,66441,active,2022-05-10T12:31:00Z
PM-0087,CUST-0087,atp_tok_xYyhIKHQI7CR,visa,5556,6,2027,June Janssen,67469,active,2023-06-20T19:12:00Z
PM-0088,CUST-0088,atp_tok_BLKH51zc8RYK,visa,5556,2,2029,Marta Ferrari,B1D5C9,active,2024-11-16T10:40:00Z
PM-0089,CUST-0089,atp_tok_yVKFvbgz7h6i,visa,4242,6,2029,Noah Lindt,50880,active,2024-06-26T14:06:00Z
PM-0090,CUST-0090,atp_tok_Yh0OPk9pkjI7,visa,4242,1,2028,Erik Egan,D6C2G6,active,2022-09-16T13:30:00Z
PM-0091,CUST-0091,atp_tok_luCq1GNLLKv0,mastercard,4444,9,2026,Liam Novak,90918,active,2024-10-14T14:00:00Z
PM-0092,CUST-0092,atp_tok_yKJAEH45kkrl,amex,8431,9,2027,Elsa Ueda,69113,active,2025-02-20T00:00:00Z
PM-0093,CUST-0093,atp_tok_0EfbVsrHkCUV,visa,5556,12,2029,Hana Eriksen,82053,active,2023-01-16T10:12:00Z
PM-0094,CUST-0094,atp_tok_gZUs9BvYB9Wo,visa,5556,7,2027,Tessa Iversen,87060,active,2025-02-09T20:34:00Z
PM-0095,CUST-0095,atp_tok_rHuRrq19Qf7W,amex,0005,9,2028,Mats Xu,17770,active,2025-02-20T00:00:00Z
PM-0096,CUST-0096,atp_tok_CN2fFr6w6uaV,visa,5556,7,2029,Felix Janssen,22208,active,2022-04-05T19:20:00Z
PM-0097,CUST-0097,atp_tok_uJJEvQdgWCh1,visa,5556,5,2028,Oscar Egan,67840,active,2023-02-26T16:25:00Z
PM-0098,CUST-0098,atp_tok_x4kysRoORaDi,visa,5556,2,2028,Freya Bergstrom,39647,active,2024-04-23T10:56:00Z
PM-0099,CUST-0099,atp_tok_Tgt2iVUi9iGa,visa,4242,2,2029,Bruno Dahl,95199,active,2021-01-23T13:52:00Z
PM-0100,CUST-0100,atp_tok_ihTvAXpNpLSr,mastercard,4444,2,2026,Hugo Dahl,A4D8J3,active,2023-12-07T18:47:00Z
